|income_band  |date      |death_rate   |
|High Income  |2022-03-14|1.2120836685 |
|Middle Income|2022-03-15|1.4939160808 |
|Low Income   |2022-03-15|1.3602833113 |
|High Income  |2022-03-15|1.2120836685 |
|Middle Income|2022-03-16|1.4939160808 |
|Low Income   |2022-03-16|1.3602833113 |
|High Income  |2022-03-16|1.2120836685 |
|Middle Income|2022-03-17|1.4939160808 |
|Low Income   |2022-03-17|1.3602833113 |
|High Income  |2022-03-17|1.2120836685 |
|Middle Income|2022-03-18|1.4939160808 |
|Low Income   |2022-03-18|1.3602833113 |
|High Income  |2022-03-18|1.2120836685 |
|Middle Income|2022-03-19|1.4939160808 |
|Low Income   |2022-03-19|1.3602833113 |
|High Income  |2022-03-19|1.2120836685 |
|Middle Income|2022-03-20|1.468038368  |
|Low Income   |2022-03-20|1.3298324159 |
|High Income  |2022-03-20|1.1838764848 |
|Middle Income|2022-03-21|1.468038368  |
|Low Income   |2022-03-21|1.3298324159 |
|High Income  |2022-03-21|1.1838764848 |
|Middle Income|2022-03-22|1.468038368  |
|Low Income   |2022-03-22|1.3298324159 |
|High Income  |2022-03-22|1.1838764848 |
|Middle Income|2022-03-23|1.468038368  |
|Low Income   |2022-03-23|1.3298324159 |
|High Income  |2022-03-23|1.1838764848 |
|Middle Income|2022-03-24|1.468038368  |
|Low Income   |2022-03-24|1.3298324159 |
|High Income  |2022-03-24|1.1838764848 |
|Middle Income|2022-03-25|1.468038368  |
|Low Income   |2022-03-25|1.3298324159 |
|High Income  |2022-03-25|1.1838764848 |
|Middle Income|2022-03-26|1.468038368  |
|Low Income   |2022-03-26|1.3298324159 |
|High Income  |2022-03-26|1.1838764848 |
|Middle Income|2022-03-27|1.4503740461 |
|Low Income   |2022-03-27|1.318651111  |
|High Income  |2022-03-27|1.1617575236 |
|Middle Income|2022-03-28|1.4503740461 |
|Low Income   |2022-03-28|1.318651111  |
|High Income  |2022-03-28|1.1617575236 |
|Middle Income|2022-03-29|1.4503740461 |
|Low Income   |2022-03-29|1.318651111  |
|High Income  |2022-03-29|1.1617575236 |
|Middle Income|2022-03-30|1.4503740461 |
|Low Income   |2022-03-30|1.318651111  |
|High Income  |2022-03-30|1.1617575236 |
|Middle Income|2022-03-31|1.4503740461 |
|Low Income   |2022-03-31|1.318651111  |
|High Income  |2022-03-31|1.1617575236 |
|Middle Income|2022-04-01|1.4503740461 |
|Low Income   |2022-04-01|1.318651111  |
|High Income  |2022-04-01|1.1617575236 |
|Middle Income|2022-04-02|1.4503740461 |
|Low Income   |2022-04-02|1.318651111  |
|High Income  |2022-04-02|1.1617575236 |
|Middle Income|2022-04-03|1.432439344  |
|Low Income   |2022-04-03|1.3066368825 |
|High Income  |2022-04-03|1.1418456865 |
|Middle Income|2022-04-04|1.432439344  |
|Low Income   |2022-04-04|1.3066368825 |
|High Income  |2022-04-04|1.1418456865 |
|Middle Income|2022-04-05|1.432439344  |
|Low Income   |2022-04-05|1.3066368825 |
|High Income  |2022-04-05|1.1418456865 |
|Middle Income|2022-04-06|1.432439344  |
|Low Income   |2022-04-06|1.3066368825 |
|High Income  |2022-04-06|1.1418456865 |
|Middle Income|2022-04-07|1.432439344  |
|Low Income   |2022-04-07|1.3066368825 |
|High Income  |2022-04-07|1.1418456865 |
|Middle Income|2022-04-08|1.432439344  |
|Low Income   |2022-04-08|1.3066368825 |
|High Income  |2022-04-08|1.1418456865 |
|Middle Income|2022-04-09|1.432439344  |
|Low Income   |2022-04-09|1.3066368825 |
|High Income  |2022-04-09|1.1418456865 |
|Middle Income|2022-04-10|1.4193824754 |
|Low Income   |2022-04-10|1.3010979228 |
|High Income  |2022-04-10|1.1273622346 |
|Middle Income|2022-04-11|1.4193824754 |
|Low Income   |2022-04-11|1.3010979228 |
|High Income  |2022-04-11|1.1273622346 |
|Middle Income|2022-04-12|1.4193824754 |
|Low Income   |2022-04-12|1.3010979228 |
|High Income  |2022-04-12|1.1273622346 |
|Middle Income|2022-04-13|1.4193824754 |
|Low Income   |2022-04-13|1.3010979228 |
|High Income  |2022-04-13|1.1273622346 |
|Middle Income|2022-04-14|1.4193824754 |
|Low Income   |2022-04-14|1.3010979228 |
|High Income  |2022-04-14|1.1273622346 |
|Middle Income|2022-04-15|1.4193824754 |
|Low Income   |2022-04-15|1.3010979228 |
|High Income  |2022-04-15|1.1273622346 |
|Middle Income|2022-04-16|1.4193824754 |
|Low Income   |2022-04-16|1.3010979228 |
|High Income  |2022-04-16|1.1273622346 |
|Middle Income|2022-04-17|1.4094676929 |
|Low Income   |2022-04-17|1.2975504324 |
|High Income  |2022-04-17|1.1163922655 |
|Middle Income|2022-04-18|1.4094676929 |
|Low Income   |2022-04-18|1.2975504324 |
|High Income  |2022-04-18|1.1163922655 |
|Middle Income|2022-04-19|1.4094676929 |
|Low Income   |2022-04-19|1.2975504324 |
|High Income  |2022-04-19|1.1163922655 |
|Middle Income|2022-04-20|1.4094676929 |
|Low Income   |2022-04-20|1.2975504324 |
|High Income  |2022-04-20|1.1163922655 |
|Middle Income|2022-04-21|1.4094676929 |
|Low Income   |2022-04-21|1.2975504324 |
|High Income  |2022-04-21|1.1163922655 |
|Middle Income|2022-04-22|1.4094676929 |
|Low Income   |2022-04-22|1.2975504324 |
|High Income  |2022-04-22|1.1163922655 |
|Middle Income|2022-04-23|1.4094676929 |
|Low Income   |2022-04-23|1.2975504324 |
|High Income  |2022-04-23|1.1163922655 |
|Middle Income|2022-04-24|1.4015241913 |
|Low Income   |2022-04-24|1.2958483288 |
|High Income  |2022-04-24|1.1077065326 |
|Middle Income|2022-04-25|1.4015241913 |
|Low Income   |2022-04-25|1.2958483288 |
|High Income  |2022-04-25|1.1077065326 |
|Middle Income|2022-04-26|1.4015241913 |
|Low Income   |2022-04-26|1.2958483288 |
|High Income  |2022-04-26|1.1077065326 |
|Middle Income|2022-04-27|1.4015241913 |
|Low Income   |2022-04-27|1.2958483288 |
|High Income  |2022-04-27|1.1077065326 |
|Middle Income|2022-04-28|1.4015241913 |
|Low Income   |2022-04-28|1.2958483288 |
|High Income  |2022-04-28|1.1077065326 |
|Middle Income|2022-04-29|1.4015241913 |
|Low Income   |2022-04-29|1.2958483288 |
|High Income  |2022-04-29|1.1077065326 |
|Middle Income|2022-04-30|1.4015241913 |
|Low Income   |2022-04-30|1.2958483288 |
|High Income  |2022-04-30|1.1077065326 |
|Middle Income|2022-05-01|1.3950629615 |
|Low Income   |2022-05-01|1.2963091134 |
|High Income  |2022-05-01|1.1008426826 |
|Middle Income|2022-05-02|1.3950629615 |
|Low Income   |2022-05-02|1.2963091134 |
|High Income  |2022-05-02|1.1008426826 |
|Middle Income|2022-05-03|1.3950629615 |
|Low Income   |2022-05-03|1.2963091134 |
|High Income  |2022-05-03|1.1008426826 |
|Middle Income|2022-05-04|1.3950629615 |
|Low Income   |2022-05-04|1.2963091134 |
|High Income  |2022-05-04|1.1008426826 |
|Middle Income|2022-05-05|1.3950629615 |
|Low Income   |2022-05-05|1.2963091134 |
|High Income  |2022-05-05|1.1008426826 |
|Middle Income|2022-05-06|1.3950629615 |
|Low Income   |2022-05-06|1.2963091134 |
|High Income  |2022-05-06|1.1008426826 |
|Middle Income|2022-05-07|1.3950629615 |
|Low Income   |2022-05-07|1.2963091134 |
|High Income  |2022-05-07|1.1008426826 |
|Middle Income|2022-05-08|1.3885559343 |
|Low Income   |2022-05-08|1.2959060943 |
|High Income  |2022-05-08|1.0947323963 |
|Middle Income|2022-05-09|1.3885559343 |
|Low Income   |2022-05-09|1.2959060943 |
|High Income  |2022-05-09|1.0947323963 |
|Middle Income|2022-05-10|1.3885559343 |
|Low Income   |2022-05-10|1.2959060943 |
|High Income  |2022-05-10|1.0947323963 |
|Middle Income|2022-05-11|1.3885559343 |
|Low Income   |2022-05-11|1.2959060943 |
|High Income  |2022-05-11|1.0947323963 |
|Middle Income|2022-05-12|1.3885559343 |
|Low Income   |2022-05-12|1.2959060943 |
|High Income  |2022-05-12|1.0947323963 |
|Middle Income|2022-05-13|1.3885559343 |
|Low Income   |2022-05-13|1.2959060943 |
|High Income  |2022-05-13|1.0947323963 |
|Middle Income|2022-05-14|1.3885559343 |
|Low Income   |2022-05-14|1.2959060943 |
|High Income  |2022-05-14|1.0947323963 |
|Middle Income|2022-05-15|1.3805512817 |
|Low Income   |2022-05-15|1.2954106128 |
|High Income  |2022-05-15|1.0878807583 |
|Middle Income|2022-05-16|1.3805512817 |
|Low Income   |2022-05-16|1.2954106128 |
|High Income  |2022-05-16|1.0878807583 |
|Middle Income|2022-05-17|1.3805512817 |
|Low Income   |2022-05-17|1.2954106128 |
|High Income  |2022-05-17|1.0878807583 |
|Middle Income|2022-05-18|1.3805512817 |
|Low Income   |2022-05-18|1.2954106128 |
|High Income  |2022-05-18|1.0878807583 |
|Middle Income|2022-05-19|1.3805512817 |
|Low Income   |2022-05-19|1.2954106128 |
|High Income  |2022-05-19|1.0878807583 |
|Middle Income|2022-05-20|1.3805512817 |
|Low Income   |2022-05-20|1.2954106128 |
|High Income  |2022-05-20|1.0878807583 |
|Middle Income|2022-05-21|1.3805512817 |
|Low Income   |2022-05-21|1.2954106128 |
|High Income  |2022-05-21|1.0878807583 |
|Middle Income|2022-05-22|1.3725988374 |
|Low Income   |2022-05-22|1.2951736829 |
|High Income  |2022-05-22|1.0816442395 |
|Middle Income|2022-05-23|1.3725988374 |
|Low Income   |2022-05-23|1.2951736829 |
|High Income  |2022-05-23|1.0816442395 |
|Middle Income|2022-05-24|1.3725988374 |
|Low Income   |2022-05-24|1.2951736829 |
|High Income  |2022-05-24|1.0816442395 |
|Middle Income|2022-05-25|1.3725988374 |
|Low Income   |2022-05-25|1.2951736829 |
|High Income  |2022-05-25|1.0816442395 |
|Middle Income|2022-05-26|1.3725988374 |
|Low Income   |2022-05-26|1.2951736829 |
|High Income  |2022-05-26|1.0816442395 |
|Middle Income|2022-05-27|1.3725988374 |
|Low Income   |2022-05-27|1.2951736829 |
|High Income  |2022-05-27|1.0816442395 |
|Middle Income|2022-05-28|1.3725988374 |
|Low Income   |2022-05-28|1.2951736829 |
|High Income  |2022-05-28|1.0816442395 |
|Middle Income|2022-05-29|1.3654414589 |
|Low Income   |2022-05-29|1.294942602  |
|High Income  |2022-05-29|1.0765447696 |
|Middle Income|2022-05-30|1.3654414589 |
|Low Income   |2022-05-30|1.294942602  |
|High Income  |2022-05-30|1.0765447696 |
|Middle Income|2022-05-31|1.3654414589 |
|Low Income   |2022-05-31|1.294942602  |
|High Income  |2022-05-31|1.0765447696 |
|Middle Income|2022-06-01|1.3654414589 |
|Low Income   |2022-06-01|1.294942602  |
|High Income  |2022-06-01|1.0765447696 |
|Middle Income|2022-06-02|1.3654414589 |
|Low Income   |2022-06-02|1.294942602  |
|High Income  |2022-06-02|1.0765447696 |
|Middle Income|2022-06-03|1.3654414589 |
|Low Income   |2022-06-03|1.294942602  |
|High Income  |2022-06-03|1.0765447696 |
|Middle Income|2022-06-04|1.3654414589 |
|Low Income   |2022-06-04|1.294942602  |
|High Income  |2022-06-04|1.0765447696 |
|Middle Income|2022-06-05|1.3585266751 |
|Low Income   |2022-06-05|1.2943666971 |
|High Income  |2022-06-05|1.0715086214 |
|Middle Income|2022-06-06|1.3585266751 |
|Low Income   |2022-06-06|1.2943666971 |
|High Income  |2022-06-06|1.0715086214 |
|Middle Income|2022-06-07|1.3585266751 |
|Low Income   |2022-06-07|1.2943666971 |
|High Income  |2022-06-07|1.0715086214 |
|Middle Income|2022-06-08|1.3585266751 |
|Low Income   |2022-06-08|1.2943666971 |
|High Income  |2022-06-08|1.0715086214 |
|Middle Income|2022-06-09|1.3585266751 |
|Low Income   |2022-06-09|1.2943666971 |
|High Income  |2022-06-09|1.0715086214 |
|Middle Income|2022-06-10|1.3585266751 |
|Low Income   |2022-06-10|1.2943666971 |
|High Income  |2022-06-10|1.0715086214 |
|Middle Income|2022-06-11|1.3585266751 |
|Low Income   |2022-06-11|1.2943666971 |
|High Income  |2022-06-11|1.0715086214 |
|Middle Income|2022-06-12|1.3512363409 |
|Low Income   |2022-06-12|1.2932573067 |
|High Income  |2022-06-12|1.0659006004 |
|Middle Income|2022-06-13|1.3512363409 |
|Low Income   |2022-06-13|1.2932573067 |
|High Income  |2022-06-13|1.0659006004 |
|Middle Income|2022-06-14|1.3512363409 |
|Low Income   |2022-06-14|1.2932573067 |
|High Income  |2022-06-14|1.0659006004 |
|Middle Income|2022-06-15|1.3512363409 |
|Low Income   |2022-06-15|1.2932573067 |
|High Income  |2022-06-15|1.0659006004 |
|Middle Income|2022-06-16|1.3512363409 |
|Low Income   |2022-06-16|1.2932573067 |
|High Income  |2022-06-16|1.0659006004 |
|Middle Income|2022-06-17|1.3512363409 |
|Low Income   |2022-06-17|1.2932573067 |
|High Income  |2022-06-17|1.0659006004 |
|Middle Income|2022-06-18|1.3512363409 |
|Low Income   |2022-06-18|1.2932573067 |
|High Income  |2022-06-18|1.0659006004 |
|Middle Income|2022-06-19|1.3436134541 |
|Low Income   |2022-06-19|1.2915444834 |
|High Income  |2022-06-19|1.0595150224 |
|Middle Income|2022-06-20|1.3436134541 |
|Low Income   |2022-06-20|1.2915444834 |
|High Income  |2022-06-20|1.0595150224 |
|Middle Income|2022-06-21|1.3436134541 |
|Low Income   |2022-06-21|1.2915444834 |
|High Income  |2022-06-21|1.0595150224 |
|Middle Income|2022-06-22|1.3436134541 |
|Low Income   |2022-06-22|1.2915444834 |
|High Income  |2022-06-22|1.0595150224 |
|Middle Income|2022-06-23|1.3436134541 |
|Low Income   |2022-06-23|1.2915444834 |
|High Income  |2022-06-23|1.0595150224 |
|Middle Income|2022-06-24|1.3436134541 |
|Low Income   |2022-06-24|1.2915444834 |
|High Income  |2022-06-24|1.0595150224 |
|Middle Income|2022-06-25|1.3436134541 |
|Low Income   |2022-06-25|1.2915444834 |
|High Income  |2022-06-25|1.0595150224 |
|Middle Income|2022-06-26|1.3346481735 |
|Low Income   |2022-06-26|1.2892070899 |
|High Income  |2022-06-26|1.0515283594 |
|Middle Income|2022-06-27|1.3346481735 |
|Low Income   |2022-06-27|1.2892070899 |
|High Income  |2022-06-27|1.0515283594 |
|Middle Income|2022-06-28|1.3346481735 |
|Low Income   |2022-06-28|1.2892070899 |
|High Income  |2022-06-28|1.0515283594 |
|Middle Income|2022-06-29|1.3346481735 |
|Low Income   |2022-06-29|1.2892070899 |
|High Income  |2022-06-29|1.0515283594 |
|Middle Income|2022-06-30|1.3346481735 |
|Low Income   |2022-06-30|1.2892070899 |
|High Income  |2022-06-30|1.0515283594 |
|Middle Income|2022-07-01|1.3346481735 |
|Low Income   |2022-07-01|1.2892070899 |
|High Income  |2022-07-01|1.0515283594 |
|Middle Income|2022-07-02|1.3346481735 |
|Low Income   |2022-07-02|1.2892070899 |
|High Income  |2022-07-02|1.0515283594 |
|Middle Income|2022-07-03|1.3244618773 |
|Low Income   |2022-07-03|1.2864262812 |
|High Income  |2022-07-03|1.0421756096 |
|Middle Income|2022-07-04|1.3244618773 |
|Low Income   |2022-07-04|1.2864262812 |
|High Income  |2022-07-04|1.0421756096 |
|Middle Income|2022-07-05|1.3244618773 |
|Low Income   |2022-07-05|1.2864262812 |
|High Income  |2022-07-05|1.0421756096 |
|Middle Income|2022-07-06|1.3244618773 |
|Low Income   |2022-07-06|1.2864262812 |
|High Income  |2022-07-06|1.0421756096 |
|Middle Income|2022-07-07|1.3244618773 |
|Low Income   |2022-07-07|1.2864262812 |
|High Income  |2022-07-07|1.0421756096 |
|Middle Income|2022-07-08|1.3244618773 |
|Low Income   |2022-07-08|1.2864262812 |
|High Income  |2022-07-08|1.0421756096 |
|Middle Income|2022-07-09|1.3244618773 |
|Low Income   |2022-07-09|1.2864262812 |
|High Income  |2022-07-09|1.0421756096 |
|Middle Income|2022-07-10|1.3124635413 |
|Low Income   |2022-07-10|1.2831834011 |
|High Income  |2022-07-10|1.0310303109 |
|Middle Income|2022-07-11|1.3124635413 |
|Low Income   |2022-07-11|1.2831834011 |
|High Income  |2022-07-11|1.0310303109 |
|Middle Income|2022-07-12|1.3124635413 |
|Low Income   |2022-07-12|1.2831834011 |
|High Income  |2022-07-12|1.0310303109 |
|Middle Income|2022-07-13|1.3124635413 |
|Low Income   |2022-07-13|1.2831834011 |
|High Income  |2022-07-13|1.0310303109 |
|Middle Income|2022-07-14|1.3124635413 |
|Low Income   |2022-07-14|1.2831834011 |
|High Income  |2022-07-14|1.0310303109 |
|Middle Income|2022-07-15|1.3124635413 |
|Low Income   |2022-07-15|1.2831834011 |
|High Income  |2022-07-15|1.0310303109 |
|Middle Income|2022-07-16|1.3124635413 |
|Low Income   |2022-07-16|1.2831834011 |
|High Income  |2022-07-16|1.0310303109 |
|Middle Income|2022-07-17|1.2995613363 |
|Low Income   |2022-07-17|1.2797433164 |
|High Income  |2022-07-17|1.0196225896 |
|Middle Income|2022-07-18|1.2995613363 |
|Low Income   |2022-07-18|1.2797433164 |
|High Income  |2022-07-18|1.0196225896 |
|Middle Income|2022-07-19|1.2995613363 |
|Low Income   |2022-07-19|1.2797433164 |
|High Income  |2022-07-19|1.0196225896 |
|Middle Income|2022-07-20|1.2995613363 |
|Low Income   |2022-07-20|1.2797433164 |
|High Income  |2022-07-20|1.0196225896 |
|Middle Income|2022-07-21|1.2995613363 |
|Low Income   |2022-07-21|1.2797433164 |
|High Income  |2022-07-21|1.0196225896 |
|Middle Income|2022-07-22|1.2995613363 |
|Low Income   |2022-07-22|1.2797433164 |
|High Income  |2022-07-22|1.0196225896 |
|Middle Income|2022-07-23|1.2995613363 |
|Low Income   |2022-07-23|1.2797433164 |
|High Income  |2022-07-23|1.0196225896 |
|Middle Income|2022-07-24|1.286814817  |
|Low Income   |2022-07-24|1.2758536776 |
|High Income  |2022-07-24|1.0088784531 |
|Middle Income|2022-07-25|1.286814817  |
|Low Income   |2022-07-25|1.2758536776 |
|High Income  |2022-07-25|1.0088784531 |
|Middle Income|2022-07-26|1.286814817  |
|Low Income   |2022-07-26|1.2758536776 |
|High Income  |2022-07-26|1.0088784531 |
|Middle Income|2022-07-27|1.286814817  |
|Low Income   |2022-07-27|1.2758536776 |
|High Income  |2022-07-27|1.0088784531 |
|Middle Income|2022-07-28|1.286814817  |
|Low Income   |2022-07-28|1.2758536776 |
|High Income  |2022-07-28|1.0088784531 |
|Middle Income|2022-07-29|1.286814817  |
|Low Income   |2022-07-29|1.2758536776 |
|High Income  |2022-07-29|1.0088784531 |
|Middle Income|2022-07-30|1.286814817  |
|Low Income   |2022-07-30|1.2758536776 |
|High Income  |2022-07-30|1.0088784531 |
|Middle Income|2022-07-31|1.274527969  |
|Low Income   |2022-07-31|1.2718632116 |
|High Income  |2022-07-31|0.9988813835 |
|Middle Income|2022-08-01|1.274527969  |
|Low Income   |2022-08-01|1.2718632116 |
|High Income  |2022-08-01|0.9988813835 |
|Middle Income|2022-08-02|1.274527969  |
|Low Income   |2022-08-02|1.2718632116 |
|High Income  |2022-08-02|0.9988813835 |
|Middle Income|2022-08-03|1.274527969  |
|Low Income   |2022-08-03|1.2718632116 |
|High Income  |2022-08-03|0.9988813835 |
|Middle Income|2022-08-04|1.274527969  |
|Low Income   |2022-08-04|1.2718632116 |
|High Income  |2022-08-04|0.9988813835 |
|Middle Income|2022-08-05|1.274527969  |
|Low Income   |2022-08-05|1.2718632116 |
|High Income  |2022-08-05|0.9988813835 |
|Middle Income|2022-08-06|1.274527969  |
|Low Income   |2022-08-06|1.2718632116 |
|High Income  |2022-08-06|0.9988813835 |
|Middle Income|2022-08-07|1.2634423114 |
|Low Income   |2022-08-07|1.2600890478 |
|High Income  |2022-08-07|0.9898462658 |
|Middle Income|2022-08-08|1.2634423114 |
|Low Income   |2022-08-08|1.2600890478 |
|High Income  |2022-08-08|0.9898462658 |
|Middle Income|2022-08-09|1.2634423114 |
|Low Income   |2022-08-09|1.2600890478 |
|High Income  |2022-08-09|0.9898462658 |
|Middle Income|2022-08-10|1.2634423114 |
|Low Income   |2022-08-10|1.2600890478 |
|High Income  |2022-08-10|0.9898462658 |
|Middle Income|2022-08-11|1.2634423114 |
|Low Income   |2022-08-11|1.2600890478 |
|High Income  |2022-08-11|0.9898462658 |
|Middle Income|2022-08-12|1.2634423114 |
|Low Income   |2022-08-12|1.2600890478 |
|High Income  |2022-08-12|0.9898462658 |
|Middle Income|2022-08-13|1.2634423114 |
|Low Income   |2022-08-13|1.2600890478 |
|High Income  |2022-08-13|0.9898462658 |
|Low Income   |2022-08-14|1.2574923761 |
|Middle Income|2022-08-14|1.2548619332 |
|High Income  |2022-08-14|0.982839424  |
|Low Income   |2022-08-15|1.2574923761 |
|Middle Income|2022-08-15|1.2548619332 |
|High Income  |2022-08-15|0.982839424  |
|Low Income   |2022-08-16|1.2574923761 |
|Middle Income|2022-08-16|1.2548619332 |
|High Income  |2022-08-16|0.982839424  |
|Low Income   |2022-08-17|1.2574923761 |
|Middle Income|2022-08-17|1.2548619332 |
|High Income  |2022-08-17|0.982839424  |
|Low Income   |2022-08-18|1.2574923761 |
|Middle Income|2022-08-18|1.2548619332 |
|High Income  |2022-08-18|0.982839424  |
|Low Income   |2022-08-19|1.2574923761 |
|Middle Income|2022-08-19|1.2548619332 |
|High Income  |2022-08-19|0.982839424  |
|Low Income   |2022-08-20|1.2574923761 |
|Middle Income|2022-08-20|1.2548619332 |
|High Income  |2022-08-20|0.982839424  |
|Low Income   |2022-08-21|1.2553424949 |
|Middle Income|2022-08-21|1.2470134979 |
|High Income  |2022-08-21|0.9763638843 |
|Low Income   |2022-08-22|1.2553424949 |
|Middle Income|2022-08-22|1.2470134979 |
|High Income  |2022-08-22|0.9763638843 |
|Low Income   |2022-08-23|1.2553424949 |
|Middle Income|2022-08-23|1.2470134979 |
|High Income  |2022-08-23|0.9763638843 |
|Low Income   |2022-08-24|1.2553424949 |
|Middle Income|2022-08-24|1.2470134979 |
|High Income  |2022-08-24|0.9763638843 |
|Low Income   |2022-08-25|1.2553424949 |
|Middle Income|2022-08-25|1.2470134979 |
|High Income  |2022-08-25|0.9763638843 |
|Low Income   |2022-08-26|1.2553424949 |
|Middle Income|2022-08-26|1.2470134979 |
|High Income  |2022-08-26|0.9763638843 |
|Low Income   |2022-08-27|1.2553424949 |
|Middle Income|2022-08-27|1.2470134979 |
|High Income  |2022-08-27|0.9763638843 |
|Low Income   |2022-08-28|1.2537894122 |
|Middle Income|2022-08-28|1.2402569558 |
|High Income  |2022-08-28|0.9709032421 |
|Low Income   |2022-08-29|1.2537894122 |
|Middle Income|2022-08-29|1.2402569558 |
|High Income  |2022-08-29|0.9709032421 |
|Low Income   |2022-08-30|1.2537894122 |
|Middle Income|2022-08-30|1.2402569558 |
|High Income  |2022-08-30|0.9709032421 |
|Low Income   |2022-08-31|1.2537894122 |
|Middle Income|2022-08-31|1.2402569558 |
|High Income  |2022-08-31|0.9709032421 |
|Low Income   |2022-09-01|1.2537894122 |
|Middle Income|2022-09-01|1.2402569558 |
|High Income  |2022-09-01|0.9709032421 |
|Low Income   |2022-09-02|1.2537894122 |
|Middle Income|2022-09-02|1.2402569558 |
|High Income  |2022-09-02|0.9709032421 |
|Low Income   |2022-09-03|1.2537894122 |
|Middle Income|2022-09-03|1.2402569558 |
|High Income  |2022-09-03|0.9709032421 |
|Low Income   |2022-09-04|1.2523948006 |
|Middle Income|2022-09-04|1.2342201576 |
|High Income  |2022-09-04|0.966135371  |
|Low Income   |2022-09-05|1.2523948006 |
|Middle Income|2022-09-05|1.2342201576 |
|High Income  |2022-09-05|0.966135371  |
|Low Income   |2022-09-06|1.2523948006 |
|Middle Income|2022-09-06|1.2342201576 |
|High Income  |2022-09-06|0.966135371  |
|Low Income   |2022-09-07|1.2523948006 |
|Middle Income|2022-09-07|1.2342201576 |
|High Income  |2022-09-07|0.966135371  |
|Low Income   |2022-09-08|1.2523948006 |
|Middle Income|2022-09-08|1.2342201576 |
|High Income  |2022-09-08|0.966135371  |
|Low Income   |2022-09-09|1.2523948006 |
|Middle Income|2022-09-09|1.2342201576 |
|High Income  |2022-09-09|0.966135371  |
|Low Income   |2022-09-10|1.2523948006 |
|Middle Income|2022-09-10|1.2342201576 |
|High Income  |2022-09-10|0.966135371  |
|Low Income   |2022-09-11|1.2512203627 |
|Middle Income|2022-09-11|1.2295075022 |
|High Income  |2022-09-11|0.9627147655 |
|Low Income   |2022-09-12|1.2512203627 |
|Middle Income|2022-09-12|1.2295075022 |
|High Income  |2022-09-12|0.9627147655 |
|Low Income   |2022-09-13|1.2512203627 |
|Middle Income|2022-09-13|1.2295075022 |
|High Income  |2022-09-13|0.9627147655 |
|Low Income   |2022-09-14|1.2512203627 |
|Middle Income|2022-09-14|1.2295075022 |
|High Income  |2022-09-14|0.9627147655 |
|Low Income   |2022-09-15|1.2512203627 |
|Middle Income|2022-09-15|1.2295075022 |
|High Income  |2022-09-15|0.9627147655 |
|Low Income   |2022-09-16|1.2512203627 |
|Middle Income|2022-09-16|1.2295075022 |
|High Income  |2022-09-16|0.9627147655 |
|Low Income   |2022-09-17|1.2512203627 |
|Middle Income|2022-09-17|1.2295075022 |
|High Income  |2022-09-17|0.9627147655 |
|Low Income   |2022-09-18|1.2499678382 |
|Middle Income|2022-09-18|1.2244462838 |
|High Income  |2022-09-18|0.9589720502 |
|Low Income   |2022-09-19|1.2499678382 |
|Middle Income|2022-09-19|1.2244462838 |
|High Income  |2022-09-19|0.9589720502 |
|Low Income   |2022-09-20|1.2499678382 |
|Middle Income|2022-09-20|1.2244462838 |
|High Income  |2022-09-20|0.9589720502 |
|Low Income   |2022-09-21|1.2499678382 |
|Middle Income|2022-09-21|1.2244462838 |
|High Income  |2022-09-21|0.9589720502 |
|Low Income   |2022-09-22|1.2499678382 |
|Middle Income|2022-09-22|1.2244462838 |
|High Income  |2022-09-22|0.9589720502 |
|Low Income   |2022-09-23|1.2499678382 |
|Middle Income|2022-09-23|1.2244462838 |
|High Income  |2022-09-23|0.9589720502 |
|Low Income   |2022-09-24|1.2499678382 |
|Middle Income|2022-09-24|1.2244462838 |
|High Income  |2022-09-24|0.9589720502 |
|Low Income   |2022-09-25|1.2487757107 |
|Middle Income|2022-09-25|1.2197132511 |
|High Income  |2022-09-25|0.9553483749 |
|Low Income   |2022-09-26|1.2487757107 |
|Middle Income|2022-09-26|1.2197132511 |
|High Income  |2022-09-26|0.9553483749 |
|Low Income   |2022-09-27|1.2487757107 |
|Middle Income|2022-09-27|1.2197132511 |
|High Income  |2022-09-27|0.9553483749 |
|Low Income   |2022-09-28|1.2487757107 |
|Middle Income|2022-09-28|1.2197132511 |
|High Income  |2022-09-28|0.9553483749 |
|Low Income   |2022-09-29|1.2487757107 |
|Middle Income|2022-09-29|1.2197132511 |
|High Income  |2022-09-29|0.9553483749 |
|Low Income   |2022-09-30|1.2487757107 |
|Middle Income|2022-09-30|1.2197132511 |
|High Income  |2022-09-30|0.9553483749 |
|Low Income   |2022-10-01|1.2487757107 |
|Middle Income|2022-10-01|1.2197132511 |
|High Income  |2022-10-01|0.9553483749 |
|Low Income   |2022-10-02|1.2478120649 |
|Middle Income|2022-10-02|1.2151048504 |
|High Income  |2022-10-02|0.9515441281 |
|Low Income   |2022-10-03|1.2478120649 |
|Middle Income|2022-10-03|1.2151048504 |
|High Income  |2022-10-03|0.9515441281 |
|Low Income   |2022-10-04|1.2478120649 |
|Middle Income|2022-10-04|1.2151048504 |
|High Income  |2022-10-04|0.9515441281 |
|Low Income   |2022-10-05|1.2478120649 |
|Middle Income|2022-10-05|1.2151048504 |
|High Income  |2022-10-05|0.9515441281 |
|Low Income   |2022-10-06|1.2478120649 |
|Middle Income|2022-10-06|1.2151048504 |
|High Income  |2022-10-06|0.9515441281 |
